user,repo,html_url,notes,description,watch,star,forks,language
NYTimes,objective-c-style-guide,https://github.com/NYTimes/objective-c-style-guide,newsroom,The Objective-C Style Guide used by The New York Times,285,3805,844,
guardian,frontend,https://github.com/guardian/frontend,newsroom,Source for theguardian.com,177,3102,321,HTML
newsapps,beeswithmachineguns,https://github.com/newsapps/beeswithmachineguns,newsroom,A utility for arming (creating) many bees (micro EC2 instances) to attack (load test) targets (web applications).,147,3022,343,Python
BloombergMedia,whatiscode,https://github.com/BloombergMedia/whatiscode,newsroom,Paul Ford’s “What Is Code?”,102,2558,194,JavaScript
fivethirtyeight,data,https://github.com/fivethirtyeight/data,newsroom,Data and code behind the stories and interactives at FiveThirtyEight,469,2145,866,Jupyter Notebook
nprapps,app-template,https://github.com/nprapps/app-template,newsroom,"The NPR visuals team's opinionated project template for client-side apps.",88,1050,149,JavaScript
voxmedia,meme,https://github.com/voxmedia/meme,newsroom,Meme generator,129,607,204,JavaScript
propublica,guides,https://github.com/propublica/guides,newsroom,"ProPublica's News App and Data Style Guides",79,410,89,HTML
TimeMagazine,babynames,https://github.com/TimeMagazine/babynames,newsroom,"Fun with the Social Security Administration's baby name data",27,188,46,JavaScript
censusreporter,censusreporter,https://github.com/censusreporter/censusreporter,newsroom,Census Reporter is a Knight News Challenge-funded project to make it easier for journalists to write stories using information from the U.S. Census bureau.,28,137,58,HTML
datadesk,python-elections,https://github.com/datadesk/python-elections,newsroom,"A Python wrapper for the Associated Press' U.S. election data service.",55,128,29,Python
BuzzFeedNews,2014-06-bikeshare-gender-maps,https://github.com/BuzzFeedNews/2014-06-bikeshare-gender-maps,newsroom,"Data and code for BuzzFeed's bikeshare gender maps.",13,51,25,JavaScript
huffpostdata,ap-election-loader,https://github.com/huffpostdata/ap-election-loader,newsroom,A Ruby library for loading election data from The Associated Press into MySQL,14,34,23,Ruby
ajam,2014_payday-nation-data,https://github.com/ajam/2014_payday-nation-data,newsroom,Data for the Payday Nation project.,10,22,8,
dukechronicle,chronline,https://github.com/dukechronicle/chronline,newsroom,The official repository for the Duke Chronicle website,26,17,3,Ruby
mbostock,d3,https://github.com/mbostock/d3,charting,A JavaScript visualization library for HTML and SVG.,2200,46689,12494,JavaScript
nnnick,Chart.js,https://github.com/nnnick/Chart.js,charting,Simple HTML5 Charts using the <canvas> tag,885,18282,5679,JavaScript
Leaflet,Leaflet,https://github.com/Leaflet/Leaflet,"charting, maps", :leaves: JavaScript library for mobile-friendly interactive maps,685,12842,2308,JavaScript
ecomfe,echarts,https://github.com/ecomfe/echarts,charting,A powerful charting and visualization library for browser,1038,10443,3764,JavaScript
gionkunz,chartist-js,https://github.com/gionkunz/chartist-js,charting,Simple responsive charts,300,7680,1008,JavaScript
jacomyal,sigma.js,https://github.com/jacomyal/sigma.js,charting,A JavaScript library dedicated to graph drawing,284,5867,866,JavaScript
mozilla,metrics-graphics,https://github.com/mozilla/metrics-graphics,charting,"A library optimized for concise, principled data graphics and layouts.",196,5595,304,JavaScript
dc-js,dc.js,https://github.com/dc-js/dc.js,"charting, multi-dimensional",Multi-Dimensional charting built to work natively with crossfilter rendered with d3.js,290,4668,1149,JavaScript
epochjs,epoch,https://github.com/epochjs/epoch,"charting, real-time","A general purpose, real-time visualization library.",203,4430,239,HTML
vega,vega,https://github.com/vega/vega,charting,A visualization grammar.,245,3901,390,JavaScript
benpickles,peity,https://github.com/benpickles/peity,charting,"Progressive <svg> pie, donut, bar and line charts",120,3419,319,HTML
densitydesign,raw,https://github.com/densitydesign/raw,charting,The missing link between spreadsheets and vector graphics,248,3358,654,JavaScript
matplotlib,matplotlib,https://github.com/matplotlib/matplotlib,charting,matplotlib: plotting with Python,313,3301,1680,Python
gka,chroma.js,https://github.com/gka/chroma.js,colors,JavaScript library for all kinds of color manipulations,108,2795,237,CoffeeScript
samizdatco,arbor,https://github.com/samizdatco/arbor,charting,a graph visualization library using web workers and jQuery,161,2178,542,JavaScript
Boris-Em,BEMSimpleLineGraph,https://github.com/Boris-Em/BEMSimpleLineGraph,"charting, iOS",Elegant Line Graphs for iOS (charting library),93,2006,290,Objective-C
okfn,recline,https://github.com/okfn/recline,charting,A simple but powerful library for building data applications in pure Javascript and HTML.,131,1809,291,JavaScript
HumbleSoftware,envisionjs,https://github.com/HumbleSoftware/envisionjs,charting,Dynamic HTML5 visualization,91,1490,239,JavaScript
kartograph,kartograph.js,https://github.com/kartograph/kartograph.js,"charting, maps",Open source JavaScript renderer for Kartograph SVG maps,88,1375,214,JavaScript
AnalyticalGraphicsInc,cesium,https://github.com/AnalyticalGraphicsInc/cesium,"charting, WebGL",WebGL virtual globe and map engine,175,1150,679,JavaScript
stamen,modestmaps-js,https://github.com/stamen/modestmaps-js,"charting, maps",Modest Maps javascript port,61,515,139,JavaScript
openaddresses,openaddresses,https://github.com/openaddresses/openaddresses,"open data, addresses",A repository of address data.,49,397,489,JavaScript
unitedstates,congress-legislators,https://github.com/unitedstates/congress-legislators,"open data, politics","Members of the United States Congress, 1789-Present, in YAML, as well as committees, presidents, and vice presidents.",79,382,174,Python
OpenExoplanetCatalogue,open_exoplanet_catalogue,https://github.com/OpenExoplanetCatalogue/open_exoplanet_catalogue,"open data, astronomy",The Open Exoplanet Catalogue,54,265,83,Python
Chicago,food-inspections-evaluation,https://github.com/Chicago/food-inspections-evaluation,"open data, food",This repository contains the code to generate predictions of critical violations at food establishments in Chicago. It also contains the results of an evaluation of the effectiveness of those predictions.,24,82,36,HTML
benbalter,congressional-districts,https://github.com/benbalter/congressional-districts,"open data, politics, maps","Historic and current US Congressional districts as GeoJSON, versioned within Git",12,75,20,
cernopendata,opendata.cern.ch,https://github.com/cernopendata/opendata.cern.ch,open data,Invenio source code overlay for CERN Open Data Portal,32,59,30,Python